,image_path,target
1495,levis/bottoms/listproduct/95f2c522045e4e7da44427e87a9be141.jpg,1
3378,carhartt/bottoms/listproduct/406f1443a18a4f9ea6e4f6fa03b6e8fd.jpg,1
4603,saint_laurent/bottoms/listproduct/5378673c099c4a19b9dc1049da37324d.jpg,0
1095,levis/bottoms/listproduct/b5938839177647c58f5b7b23c7f43ec9.jpg,0
5137,saint_laurent/bottoms/listproduct/7fe1bff35b76488e8f61e3626bb11d07.jpg,1
4504,saint_laurent/bottoms/listproduct/00f30ac3c9e94bac80575e161ffb6e12.jpg,0
4710,saint_laurent/bottoms/listproduct/8e23fcfaf325485fb96ced07e2790605.jpg,0
2259,acne_studios/bottoms/listproduct/ae6d7d75963743d0b74868190ae00eb7.jpg,0
2370,acne_studios/bottoms/listproduct/7db0c1dc06d64e16a97473f006c1af20.jpg,0
1625,levis/bottoms/listproduct/b6037497645f44319597050074440294.jpg,0
112,kapital/bottoms/listproduct/87833be734f7466590a6133bbb28a123.jpg,1
4325,rick_owens/bottoms/listproduct/8419e94842e840ecaf731267b11f9319.jpg,0
2360,acne_studios/bottoms/listproduct/8dff3c6f9fa64db5978f32aa3ef1ba80.jpg,1
5006,saint_laurent/bottoms/listproduct/fffea89493af4de49be3094a491a2d74.jpg,0
3520,rick_owens/bottoms/listproduct/720ca736add14de7a2d0eb53303c14cc.jpg,0
4288,rick_owens/bottoms/listproduct/2a0791f6d7384db193a00aab133cdb21.jpg,1
5124,saint_laurent/bottoms/listproduct/674fab15d80c4bee9a29368d331eaadb.jpg,1
4626,saint_laurent/bottoms/listproduct/074cb20767884ac28135414dbceb6647.jpg,1
634,kapital/bottoms/listproduct/98be2810a0ec40be8b3224d1c9391dff.jpg,1
1921,levis/bottoms/listproduct/6d60945cbf114ae590b1657644d16fbb.jpg,0
2200,acne_studios/bottoms/listproduct/575097ad97d64fe38363e9d014800b6f.jpg,1
2650,carhartt/bottoms/listproduct/7c5bf99051d44f5abeba6a994388b9dd.jpg,0
1001,levis/bottoms/listproduct/e2a1d180b44440a7b645fbede2a68cdb.jpg,0
26,kapital/bottoms/listproduct/fd5d1ccc9aaa40bd9cf140437a1cdc19.jpg,1
3883,rick_owens/bottoms/listproduct/f44ab7f1a08741fd9d865de6779a5fb6.jpg,1
2978,carhartt/bottoms/listproduct/057c7f42afac4c4d854c8ebcb8c40b2b.jpg,0
668,kapital/bottoms/listproduct/d703922bda004d5981891c3c0bd861ae.jpg,1
5301,saint_laurent/bottoms/listproduct/c8954a6ad5ce4460bf4836e65a6ec4d2.jpg,1
4687,saint_laurent/bottoms/listproduct/edb34c494f544dca9db41798ad42f525.jpg,1
3161,carhartt/bottoms/listproduct/5b78a10d50854066bb6350f4fb58d66c.jpg,0
1622,levis/bottoms/listproduct/59f3a79cd79e47fd905f02fadc9c52c1.jpg,0
1963,levis/bottoms/listproduct/778bbd6bab9d4329ba933afdec73071e.jpg,0
4496,saint_laurent/bottoms/listproduct/8f51db317b974f55ace62669e467ef5a.jpg,1
3324,carhartt/bottoms/listproduct/abae070d0bc742b2920842115fbc2a6c.jpg,0
